"abbrev","fips","sector","year","ft_gp","ft_ug","pt_gp","pt_ug","tot_gp","tot_ug","tot_all"
"CO",8,2,"1992",2994,8037,4273,4244,7267,12281,19548
"CO",8,2,"1993",3513,8121,4152,4335,7665,12456,20121
"CO",8,2,"1994",3489,8451,4583,4257,8072,12708,20780
"CO",8,2,"1995",3768,8954,4545,4402,8313,13356,21669
"CO",8,2,"1996",3746,8888,4501,4685,8247,13573,21820
"CO",8,2,"1997",3696,9015,5138,4850,8834,13865,22699
"CO",8,2,"1998",3793,9012,5422,5426,9215,14438,23653
"CO",8,2,"1999",2090,8888,3175,5374,5265,14262,19527
"CO",8,2,"2000",5903,9779,4953,5214,10856,14993,25849
"CO",8,2,"2001",4213,10172,7593,4932,11806,15104,26910
"CO",8,2,"2002",4379,10969,8094,5269,12473,16238,28711
"CO",8,2,"2003",7408,11842,5221,5111,12629,16953,29582
"CO",8,2,"2004",7526,12303,5432,5230,12958,17533,30491
"CO",8,2,"2005",7641,12686,5532,5383,13173,18069,31242
"CO",8,2,"2006",7512,13356,5565,5833,13077,19189,32266
"CO",8,2,"2007",7560,13300,5642,5791,13202,19091,32293
"CO",8,2,"2008",7608,13755,6035,5657,13643,19412,33055
"CO",8,2,"2009",7785,14583,6216,5364,14001,19947,33948
"CO",8,2,"2010",7982,14741,6318,5658,14300,20399,34699
"CO",8,2,"2011",8105,14655,6430,6282,14535,20937,35472
"CO",8,2,"2012",7538,14451,6195,6709,13733,21160,34893
"CO",8,2,"2013",7484,14404,5858,7456,13342,21860,35202
"CO",8,2,"2014",7103,14254,5744,7357,12847,21611,34458
"CT",9,2,"1980",5841,29252,10622,13211,16463,42463,58926
"CT",9,2,"1984",7153,28399,10357,11374,17510,39773,57283
"CT",9,2,"1985",7271,28061,10678,11186,17949,39247,57196
"CT",9,2,"1986",7290,27266,10763,10777,18053,38043,56096
"CT",9,2,"1987",7254,27118,11235,10706,18489,37824,56313
"CT",9,2,"1988",7497,27095,11034,10471,18531,37566,56097
"CT",9,2,"1989",7691,27251,10905,10298,18596,37549,56145
"CT",9,2,"1990",7884,26913,11109,9817,18993,36730,55723
"CT",9,2,"1991",8236,26605,10973,9907,19209,36512,55721
"CT",9,2,"1992",8096,25719,10666,10504,18762,36223,54985
"CT",9,2,"1993",8156,28242,10441,9488,18597,37730,56327
"CT",9,2,"1994",8427,28968,10064,9381,18491,38349,56840
"CT",9,2,"1995",8419,29196,9466,8768,17885,37964,55849
"CT",9,2,"1996",8556,29434,9413,8300,17969,37734,55703
"CT",9,2,"1997",8790,29944,9457,7955,18247,37899,56146
"CT",9,2,"1998",9014,31419,9508,7505,18522,38924,57446
"CT",9,2,"1999",4400,31310,7873,6767,12273,38077,50350
"CT",9,2,"2000",10021,32057,8674,6714,18695,38771,57466
"CT",9,2,"2001",10217,32942,8802,6418,19019,39360,58379
"CT",9,2,"2002",10717,33682,8685,6126,19402,39808,59210
"CT",9,2,"2003",10971,34280,7938,5706,18909,39986,58895
"CT",9,2,"2004",11004,34546,7669,5959,18673,40505,59178
"CT",9,2,"2005",10997,35745,7402,6031,18399,41776,60175
"CT",9,2,"2006",11244,36094,7710,6093,18954,42187,61141
"CT",9,2,"2007",11727,36510,7685,5895,19412,42405,61817
"CT",9,2,"2008",10607,37551,8040,6084,18647,43635,62282
"CT",9,2,"2009",12351,38110,8171,6284,20522,44394,64916
"CT",9,2,"2010",12516,38804,8297,7145,20813,45949,66762
"CT",9,2,"2011",12536,39180,8466,7558,21002,46738,67740
"CT",9,2,"2012",12361,39582,8241,7594,20602,47176,67778
"CT",9,2,"2013",12768,40550,8074,7335,20842,47885,68727
"CT",9,2,"2014",13391,41388,8338,7291,21729,48679,70408
"DE",10,2,"1980",75,2569,32,1938,107,4507,4614
"DE",10,2,"1984",21,2436,278,2452,299,4888,5187
"DE",10,2,"1985",18,2272,237,2031,255,4303,4558
"DE",10,2,"1986",59,1770,276,2006,335,3776,4111
"DE",10,2,"1987",74,2758,381,2748,455,5506,5961
"DE",10,2,"1988",44,2395,450,2546,494,4941,5435
"DE",10,2,"1989",64,2724,470,2739,534,5463,5997
"DE",10,2,"1990",48,2628,436,2767,484,5395,5879
"DE",10,2,"1991",52,2225,483,2787,535,5012,5547
"DE",10,2,"1992",65,2415,674,2896,739,5311,6050
"DE",10,2,"1993",994,2420,1288,3055,2282,5475,7757
"DE",10,2,"1994",1014,2423,1404,3034,2418,5457,7875
"DE",10,2,"1995",1031,2366,1602,3104,2633,5470,8103
"DE",10,2,"1996",1024,2354,1606,3275,2630,5629,8259
"DE",10,2,"1997",1034,2322,1738,3301,2772,5623,8395
"DE",10,2,"1998",959,2541,1834,3456,2793,5997,8790
"DE",10,2,"1999",912,3080,1782,3752,2694,6832,9526
"DE",10,2,"2000",950,3583,1807,3213,2757,6796,9553
"DE",10,2,"2001",1105,3922,2382,3112,3487,7034,10521
"DE",10,2,"2002",1278,4387,2508,3436,3786,7823,11609
"DE",10,2,"2003",1351,4283,3045,3079,4396,7362,11758
"DE",10,2,"2004",1569,4188,2737,2891,4306,7079,11385
"DE",10,2,"2005",1617,4994,2897,3243,4514,8237,12751
"DE",10,2,"2006",1668,5004,3249,3027,4917,8031,12948
"DE",10,2,"2007",1809,4870,3458,2903,5267,7773,13040
"DE",10,2,"2008",2412,5135,3277,3092,5689,8227,13916
"DE",10,2,"2009",2224,5523,3324,3449,5548,8972,14520
"DE",10,2,"2010",2308,5668,2951,3683,5259,9351,14610
"DE",10,2,"2011",2332,5555,3128,4117,5460,9672,15132
"DE",10,2,"2012",2340,5409,3780,4888,6120,10297,16417
"DE",10,2,"2013",1956,5354,5218,5521,7174,10875,18049
"DE",10,2,"2014",2483,5384,5283,5686,7766,11070,18836
"DC",11,2,"1980",15635,26378,18571,6947,34206,33325,67531
"DC",11,2,"1984",14228,26597,16729,5628,30957,32225,63182
"DC",11,2,"1985",14031,27114,16280,5519,30311,32633,62944
"DC",11,2,"1986",14117,27454,15981,5382,30098,32836,62934
"DC",11,2,"1987",13784,28963,16064,5129,29848,34092,63940
"DC",11,2,"1988",13655,30013,15369,5456,29024,35469,64493
"DC",11,2,"1989",13933,30177,14670,4875,28603,35052,63655
"DC",11,2,"1990",14168,29185,14874,5252,29042,34437,63479
"DC",11,2,"1991",14938,28237,15196,5109,30134,33346,63480
"DC",11,2,"1992",15328,27482,15499,4701,30827,32183,63010
"DC",11,2,"1993",16107,26883,15786,4833,31893,31716,63609
"DC",11,2,"1994",16788,26874,15519,4408,32307,31282,63589
"DC",11,2,"1995",17831,27359,15003,4194,32834,31553,64387
"DC",11,2,"1996",17752,27092,14183,3855,31935,30947,62882
"DC",11,2,"1997",18087,27578,13608,3707,31695,31285,62980
"DC",11,2,"1998",17732,27915,13234,3632,30966,31547,62513
"DC",11,2,"1999",7545,27622,1680,4214,9225,31836,41061
"DC",11,2,"2000",17614,29509,12835,3110,30449,32619,63068
"DC",11,2,"2001",17909,31106,13657,3289,31566,34395,65961
"DC",11,2,"2002",18715,31503,13698,3501,32413,35004,67417
"DC",11,2,"2003",19108,32175,13850,3222,32958,35397,68355
"DC",11,2,"2004",19444,32985,13984,3153,33428,36138,69566
"DC",11,2,"2005",19671,33495,14486,2886,34157,36381,70538
"DC",11,2,"2006",19747,33828,14870,3239,34617,37067,71684
"DC",11,2,"2007",19852,33787,15658,3221,35510,37008,72518
"DC",11,2,"2008",20094,34299,16160,3186,36254,37485,73739
"DC",11,2,"2009",21285,35377,16797,3093,38082,38470,76552
"DC",11,2,"2010",21994,35958,17110,2930,39104,38888,77992
"DC",11,2,"2011",22703,36569,16503,2746,39206,39315,78521
"DC",11,2,"2012",23211,36166,16624,2919,39835,39085,78920
"DC",11,2,"2013",23208,36274,16427,2999,39635,39273,78908
"DC",11,2,"2014",22765,36365,16345,3005,39110,39370,78480
"FL",12,2,"1980",8338,42044,5983,13794,14321,55838,70159
"FL",12,2,"1984",10485,43819,8233,18266,18718,62085,80803
"FL",12,2,"1985",10769,45904,8177,15950,18946,61854,80800
"FL",12,2,"1986",8861,46590,9885,16919,18746,63509,82255
"FL",12,2,"1987",8473,43361,10570,15502,19043,58863,77906
"FL",12,2,"1988",9511,49145,11166,15925,20677,65070,85747
"FL",12,2,"1989",9300,46954,11735,16660,21035,63614,84649
"FL",12,2,"1990",8833,49013,12187,16383,21020,65396,86416
"FL",12,2,"1991",9419,48026,13455,18432,22874,66458,89332
"FL",12,2,"1992",9782,48402,13642,18960,23424,67362,90786
"FL",12,2,"1993",10412,48265,14186,19282,24598,67547,92145
"FL",12,2,"1994",11936,48540,14809,19316,26745,67856,94601
"FL",12,2,"1995",12695,49534,14794,18988,27489,68522,96011
"FL",12,2,"1996",13360,51020,14859,18877,28219,69897,98116
"FL",12,2,"1997",13448,53692,15619,19601,29067,73293,102360
"FL",12,2,"1998",14501,56200,14761,18808,29262,75008,104270
"FL",12,2,"1999",7924,60137,6269,19423,14193,79560,93753
"FL",12,2,"2000",15086,62921,17330,20212,32416,83133,115549
"FL",12,2,"2001",15441,65896,17750,21477,33191,87373,120564
"FL",12,2,"2002",16427,67770,19486,23064,35913,90834,126747
"FL",12,2,"2003",17469,73817,21742,24215,39211,98032,137243
"FL",12,2,"2004",20888,79193,21776,25234,42664,104427,147091
"FL",12,2,"2005",22904,81732,21519,26976,44423,108708,153131
"FL",12,2,"2006",24253,82572,20772,29945,45025,112517,157542
"FL",12,2,"2007",24597,83376,22397,30825,46994,114201,161195
"FL",12,2,"2008",24603,85442,23729,32307,48332,117749,166081
"FL",12,2,"2009",26871,92069,24878,32358,51749,124427,176176
"FL",12,2,"2010",30165,94093,23243,31840,53408,125933,179341
"FL",12,2,"2011",30630,94227,23214,31255,53844,125482,179326
"FL",12,2,"2012",30737,94639,22660,30269,53397,124908,178305
"FL",12,2,"2013",30520,97619,22865,27821,53385,125440,178825
"FL",12,2,"2014",31051,99332,21817,28159,52868,127491,180359
"GA",13,2,"1980",6231,20038,1921,2315,8152,22353,30505
"GA",13,2,"1984",6492,19547,2592,3156,9084,22703,31787
"GA",13,2,"1985",6203,19757,2747,3398,8950,23155,32105
"GA",13,2,"1986",5962,21150,3742,5621,9704,26771,36475
"GA",13,2,"1987",6145,21814,3046,4294,9191,26108,35299
"GA",13,2,"1988",6114,23710,2948,4573,9062,28283,37345
"GA",13,2,"1989",6216,24836,3022,4765,9238,29601,38839
"GA",13,2,"1990",7194,28078,3655,5230,10849,33308,44157
"GA",13,2,"1991",7979,29710,3689,5550,11668,35260,46928
"GA",13,2,"1992",8729,31128,4899,7250,13628,38378,52006
"GA",13,2,"1993",9386,33231,4151,6406,13537,39637,53174
"GA",13,2,"1994",9777,34824,4498,6298,14275,41122,55397
"GA",13,2,"1995",10808,35375,5573,5376,16381,40751,57132
"GA",13,2,"1996",11528,36860,5481,5224,17009,42084,59093
"GA",13,2,"1997",10702,37630,6404,5453,17106,43083,60189
"GA",13,2,"1998",11180,38603,6142,5735,17322,44338,61660
"GA",13,2,"1999",7251,38930,3110,5995,10361,44925,55286
"GA",13,2,"2000",10768,38302,5509,5384,16277,43686,59963
"GA",13,2,"2001",10351,40359,4976,4894,15327,45253,60580
"GA",13,2,"2002",10207,40336,5089,4952,15296,45288,60584
"GA",13,2,"2003",10078,39866,4695,4727,14773,44593,59366
"GA",13,2,"2004",10412,40692,4398,4651,14810,45343,60153
"GA",13,2,"2005",10859,41087,4417,4717,15276,45804,61080
"GA",13,2,"2006",11417,41908,4630,4884,16047,46792,62839
"GA",13,2,"2007",11906,42519,5019,5664,16925,48183,65108
"GA",13,2,"2008",12698,43316,5183,4746,17881,48062,65943
"GA",13,2,"2009",13226,44029,5503,5502,18729,49531,68260
"GA",13,2,"2010",13793,44932,5870,6034,19663,50966,70629
"GA",13,2,"2011",14276,45305,6458,6215,20734,51520,72254
"GA",13,2,"2012",14327,44967,6709,6740,21036,51707,72743
"GA",13,2,"2013",14704,44744,6352,7116,21056,51860,72916
"GA",13,2,"2014",15057,44668,5934,7152,20991,51820,72811
"HI",15,2,"1980",0,3394,115,1893,115,5287,5402
"HI",15,2,"1984",0,5032,183,2470,183,7502,7685
"HI",15,2,"1985",19,5134,227,2765,246,7899,8145
"HI",15,2,"1986",161,5726,343,2873,504,8599,9103
"HI",15,2,"1987",266,5414,365,3138,631,8552,9183
"HI",15,2,"1988",297,6048,355,2938,652,8986,9638
"HI",15,2,"1989",339,5590,457,3546,796,9136,9932
"HI",15,2,"1990",347,6411,484,2846,831,9257,10088
"HI",15,2,"1991",426,6653,553,3285,979,9938,10917
"HI",15,2,"1992",651,6803,614,3332,1265,10135,11400
"HI",15,2,"1993",504,6825,800,4014,1304,10839,12143
"HI",15,2,"1994",487,6883,845,4326,1332,11209,12541
"HI",15,2,"1995",769,7237,788,4164,1557,11401,12958
"HI",15,2,"1996",928,7890,783,3967,1711,11857,13568
"HI",15,2,"1997",859,7305,752,4779,1611,12084,13695
"HI",15,2,"1998",939,7277,822,4772,1761,12049,13810
"HI",15,2,"1999",1110,7408,795,3983,1905,11391,13296
"HI",15,2,"2000",1035,8417,822,2696,1857,11113,12970
"HI",15,2,"2001",1123,8179,796,3363,1919,11542,13461
"HI",15,2,"2002",1144,8276,765,3750,1909,12026,13935
"HI",15,2,"2003",1091,7965,782,4148,1873,12113,13986
"HI",15,2,"2004",1114,7798,771,3892,1885,11690,13575
"HI",15,2,"2005",1121,8116,752,3939,1873,12055,13928
"HI",15,2,"2006",1230,8466,740,3632,1970,12098,14068
"HI",15,2,"2007",1176,8135,844,3569,2020,11704,13724
"HI",15,2,"2008",1078,7755,884,4309,1962,12064,14026
"HI",15,2,"2009",1134,8148,872,3856,2006,12004,14010
"HI",15,2,"2010",1185,8806,965,4005,2150,12811,14961
"HI",15,2,"2011",1268,8609,905,3969,2173,12578,14751
"HI",15,2,"2012",1242,8813,919,3318,2161,12131,14292
"HI",15,2,"2013",1201,8444,762,2680,1963,11124,13087
"HI",15,2,"2014",1194,7748,560,2467,1754,10215,11969
"ID",16,2,"1980",12,6774,191,1550,203,8324,8527
"ID",16,2,"1984",19,6806,285,1275,304,8081,8385
"ID",16,2,"1985",6,7341,273,1382,279,8723,9002
"ID",16,2,"1986",111,7674,249,1250,360,8924,9284
"ID",16,2,"1987",124,8294,282,1071,406,9365,9771
"ID",16,2,"1988",124,9038,282,710,406,9748,10154
"ID",16,2,"1989",17,8771,663,648,680,9419,10099
"ID",16,2,"1990",3,8985,631,514,634,9499,10133
"ID",16,2,"1991",0,9356,1051,458,1051,9814,10865
"ID",16,2,"1992",3,9480,925,472,928,9952,10880
"ID",16,2,"1993",2,9841,579,369,581,10210,10791
"ID",16,2,"1994",23,9543,1077,334,1100,9877,10977
"ID",16,2,"1995",4,9508,375,377,379,9885,10264
"ID",16,2,"1996",2,9281,447,342,449,9623,10072
"ID",16,2,"1997",48,9706,610,464,658,10170,10828
"ID",16,2,"1998",62,10051,538,400,600,10451,11051
"ID",16,2,"1999",90,10131,639,484,729,10615,11344
"ID",16,2,"2000",144,10336,62,625,206,10961,11167
"ID",16,2,"2001",182,10613,92,659,274,11272,11546
"ID",16,2,"2002",230,11910,100,919,330,12829,13159
"ID",16,2,"2003",274,12218,144,1005,418,13223,13641
"ID",16,2,"2004",319,12459,114,1179,433,13638,14071
"ID",16,2,"2005",377,13357,102,1825,479,15182,15661
"ID",16,2,"2006",487,14333,66,1985,553,16318,16871
"ID",16,2,"2007",503,13814,100,2255,603,16069,16672
"ID",16,2,"2008",507,14285,139,2571,646,16856,17502
"ID",16,2,"2009",515,14764,128,2855,643,17619,18262
"ID",16,2,"2010",510,15273,205,2352,715,17625,18340
"ID",16,2,"2011",544,16778,229,4727,773,21505,22278
"ID",16,2,"2012",588,18225,210,8429,798,26654,27452
"ID",16,2,"2013",589,17392,220,13740,809,31132,31941
"ID",16,2,"2014",564,18487,185,21426,749,39913,40662
"IL",17,2,"1980",21265,66404,18253,24101,39518,90505,130023
"IL",17,2,"1984",21690,67844,21472,24947,43162,92791,135953
"IL",17,2,"1985",21782,67694,22634,25326,44416,93020,137436
"IL",17,2,"1986",22662,68699,23993,26002,46655,94701,141356
"IL",17,2,"1987",23019,69912,25462,26530,48481,96442,144923
"IL",17,2,"1988",23885,72018,24346,26902,48231,98920,147151
"IL",17,2,"1989",26163,75932,25847,27280,52010,103212,155222
"IL",17,2,"1990",26660,77259,26326,28337,52986,105596,158582
"IL",17,2,"1991",27945,78321,28163,28915,56108,107236,163344
"IL",17,2,"1992",27998,79753,27953,28953,55951,108706,164657
"IL",17,2,"1993",29023,80520,29031,28321,58054,108841,166895
"IL",17,2,"1994",30030,81173,28898,28508,58928,109681,168609
"IL",17,2,"1995",30715,82875,30311,27089,61026,109964,170990
"IL",17,2,"1996",31398,83596,31574,26112,62972,109708,172680
"IL",17,2,"1997",31544,82568,31360,25328,62904,107896,170800
"IL",17,2,"1998",31866,87384,31568,25554,63434,112938,176372
"IL",17,2,"1999",14654,90085,16735,24807,31389,114892,146281
"IL",17,2,"2000",35646,92566,31348,24561,66994,117127,184121
"IL",17,2,"2001",35107,96864,33675,23445,68782,120309,189091
"IL",17,2,"2002",37980,99976,34646,22663,72626,122639,195265
"IL",17,2,"2003",40354,102574,35646,21275,76000,123849,199849
"IL",17,2,"2004",40215,104149,37398,19909,77613,124058,201671
"IL",17,2,"2005",40566,107947,38021,19500,78587,127447,206034
"IL",17,2,"2006",42055,111128,38969,18460,81024,129588,210612
"IL",17,2,"2007",44772,113777,38761,18202,83533,131979,215512
"IL",17,2,"2008",44908,116761,41327,17833,86235,134594,220829
"IL",17,2,"2009",47786,119584,42444,17580,90230,137164,227394
"IL",17,2,"2010",48735,121374,43356,16880,92091,138254,230345
"IL",17,2,"2011",49368,120759,41863,17651,91231,138410,229641
"IL",17,2,"2012",48918,120524,40864,17405,89782,137929,227711
"IL",17,2,"2013",49356,120551,37261,16813,86617,137364,223981
"IL",17,2,"2014",48774,120374,37026,16341,85800,136715,222515
"IN",18,2,"1980",3304,39013,3495,7387,6799,46400,53199
"IN",18,2,"1984",3501,37400,3198,7014,6699,44414,51113
"IN",18,2,"1985",3446,36554,3408,6896,6854,43450,50304
"IN",18,2,"1986",3545,36390,3343,6770,6888,43160,50048
"IN",18,2,"1987",3855,37100,3080,6719,6935,43819,50754
"IN",18,2,"1988",3786,38898,3067,6537,6853,45435,52288
"IN",18,2,"1989",4188,39604,3168,6371,7356,45975,53331
"IN",18,2,"1990",4537,39834,2942,7124,7479,46958,54437
"IN",18,2,"1991",4474,40193,3049,7340,7523,47533,55056
"IN",18,2,"1992",4715,40246,2983,7799,7698,48045,55743
"IN",18,2,"1993",4833,41003,2985,7807,7818,48810,56628
"IN",18,2,"1994",5167,42155,2849,7679,8016,49834,57850
"IN",18,2,"1995",5176,43315,3050,7488,8226,50803,59029
"IN",18,2,"1996",5442,43468,3184,7335,8626,50803,59429
"IN",18,2,"1997",5767,44515,3126,7629,8893,52144,61037
"IN",18,2,"1998",5822,45935,3275,7721,9097,53656,62753
"IN",18,2,"1999",3918,47133,1509,7889,5427,55022,60449
"IN",18,2,"2000",6556,48121,3014,7459,9570,55580,65150
"IN",18,2,"2001",6926,49451,3548,8620,10474,58071,68545
"IN",18,2,"2002",7743,50746,3644,8913,11387,59659,71046
"IN",18,2,"2003",8597,51808,3940,8775,12537,60583,73120
"IN",18,2,"2004",9263,53393,3690,9123,12953,62516,75469
"IN",18,2,"2005",9993,54557,3663,8799,13656,63356,77012
"IN",18,2,"2006",10524,55952,3865,8274,14389,64226,78615
"IN",18,2,"2007",11100,57755,3945,8638,15045,66393,81438
"IN",18,2,"2008",11241,58778,4277,8822,15518,67600,83118
"IN",18,2,"2009",11617,60140,4329,10448,15946,70588,86534
"IN",18,2,"2010",11645,61471,4425,10696,16070,72167,88237
"IN",18,2,"2011",11499,61560,4447,10903,15946,72463,88409
"IN",18,2,"2012",11375,61725,4328,11049,15703,72774,88477
"IN",18,2,"2013",11297,61735,4557,10776,15854,72511,88365
"IN",18,2,"2014",12135,62284,4523,11182,16658,73466,90124
"IA",19,2,"1980",3539,27806,1641,6281,5180,34087,39267
"IA",19,2,"1984",3986,26822,1983,6588,5969,33410,39379
"IA",19,2,"1985",3673,26535,2316,6341,5989,32876,38865
"IA",19,2,"1986",3740,27702,2166,6565,5906,34267,40173
"IA",19,2,"1987",3876,27645,3145,6916,7021,34561,41582
"IA",19,2,"1988",3829,28463,3182,7943,7011,36406,43417
"IA",19,2,"1989",3684,29526,6617,9191,10301,38717,49018
"IA",19,2,"1990",3895,29878,5363,9234,9258,39112,48370
"IA",19,2,"1991",4173,29912,3501,9208,7674,39120,46794
"IA",19,2,"1992",4189,30367,2823,8823,7012,39190,46202
"IA",19,2,"1993",4408,30214,2819,9694,7227,39908,47135
"IA",19,2,"1994",4261,30111,2669,10110,6930,40221,47151
"IA",19,2,"1995",4152,30342,2697,11632,6849,41974,48823
"IA",19,2,"1996",4368,30081,2972,11210,7340,41291,48631
"IA",19,2,"1997",4314,31258,3031,10731,7345,41989,49334
"IA",19,2,"1998",4228,32175,2695,11029,6923,43204,50127
"IA",19,2,"1999",4126,31957,1319,10132,5445,42089,47534
"IA",19,2,"2000",4860,32454,2871,9395,7731,41849,49580
"IA",19,2,"2001",5063,33154,3241,8355,8304,41509,49813
"IA",19,2,"2002",5494,33838,2916,7987,8410,41825,50235
"IA",19,2,"2003",5612,35204,2992,7849,8604,43053,51657
"IA",19,2,"2004",5661,36541,3015,7717,8676,44258,52934
"IA",19,2,"2005",6096,37356,3055,7354,9151,44710,53861
"IA",19,2,"2006",6450,37196,3339,7696,9789,44892,54681
"IA",19,2,"2007",6564,37518,3797,7589,10361,45107,55468
"IA",19,2,"2008",6854,37262,4065,7704,10919,44966,55885
"IA",19,2,"2009",6981,38486,4346,7486,11327,45972,57299
"IA",19,2,"2010",6949,38730,4240,7511,11189,46241,57430
"IA",19,2,"2011",7118,38918,4205,7245,11323,46163,57486
"IA",19,2,"2012",7077,38279,4391,6513,11468,44792,56260
"IA",19,2,"2013",7172,38296,4548,6267,11720,44563,56283
"IA",19,2,"2014",7524,37288,4879,6469,12403,43757,56160
"KS",20,2,"1980",593,9801,205,2005,798,11806,12604
"KS",20,2,"1984",586,8936,730,2866,1316,11802,13118
"KS",20,2,"1985",647,8682,1045,2409,1692,11091,12783
"KS",20,2,"1986",662,8915,373,2438,1035,11353,12388
"KS",20,2,"1987",1233,8650,430,2472,1663,11122,12785
"KS",20,2,"1988",795,8588,446,2554,1241,11142,12383
"KS",20,2,"1989",1017,8291,322,2601,1339,10892,12231
"KS",20,2,"1990",1206,8972,338,3011,1544,11983,13527
"KS",20,2,"1991",1372,9262,341,3616,1713,12878,14591
"KS",20,2,"1992",1611,10136,235,4313,1846,14449,16295
"KS",20,2,"1993",1521,10469,460,4012,1981,14481,16462
"KS",20,2,"1994",1863,11059,412,3950,2275,15009,17284
"KS",20,2,"1995",1483,11144,481,3498,1964,14642,16606
"KS",20,2,"1996",1560,10942,567,3271,2127,14213,16340
"KS",20,2,"1997",1575,11024,1302,2738,2877,13762,16639
"KS",20,2,"1998",1721,11418,1549,3573,3270,14991,18261
"KS",20,2,"1999",1569,11378,1702,3269,3271,14647,17918
"KS",20,2,"2000",1612,11456,1855,3513,3467,14969,18436
"KS",20,2,"2001",1515,12380,1991,3646,3506,16026,19532
"KS",20,2,"2002",1515,12050,1439,3501,2954,15551,18505
"KS",20,2,"2003",1424,12513,1487,3473,2911,15986,18897
"KS",20,2,"2004",1367,12737,1665,3558,3032,16295,19327
"KS",20,2,"2005",1510,12428,1434,3662,2944,16090,19034
"KS",20,2,"2006",2997,12529,2315,4505,5312,17034,22346
"KS",20,2,"2007",1863,12683,3435,5127,5298,17810,23108
"KS",20,2,"2008",1739,13003,3406,5883,5145,18886,24031
"KS",20,2,"2009",1661,13733,3698,5680,5359,19413,24772
"KS",20,2,"2010",1643,14166,3510,5717,5153,19883,25036
"KS",20,2,"2011",1879,14760,3466,5811,5345,20571,25916
"KS",20,2,"2012",1779,14812,3318,5848,5097,20660,25757
"KS",20,2,"2013",2083,14522,2986,6657,5069,21179,26248
"KS",20,2,"2014",1974,14468,3163,6024,5137,20492,25629
"KY",21,2,"1980",2611,13610,1560,3691,4171,17301,21472
"KY",21,2,"1984",2853,13226,2027,3833,4880,17059,21939
"KY",21,2,"1985",2739,13210,2229,3710,4968,16920,21888
"KY",21,2,"1986",2501,13769,2235,4002,4736,17771,22507
"KY",21,2,"1987",2544,14117,2395,5031,4939,19148,24087
"KY",21,2,"1988",2558,14449,2276,4596,4834,19045,23879
"KY",21,2,"1989",1030,14878,1913,4733,2943,19611,22554
"KY",21,2,"1990",2538,15285,2227,5165,4765,20450,25215
"KY",21,2,"1991",2695,15894,2176,4727,4871,20621,25492
"KY",21,2,"1992",2432,15661,1955,4016,4387,19677,24064
"KY",21,2,"1993",2584,15911,2102,3864,4686,19775,24461
"KY",21,2,"1994",2720,15858,2090,4082,4810,19940,24750
"KY",21,2,"1995",2675,16134,2168,4343,4843,20477,25320
"KY",21,2,"1996",2578,16341,2208,4240,4786,20581,25367
"KY",21,2,"1997",2596,16922,2305,4279,4901,21201,26102
"KY",21,2,"1998",2614,17747,2500,4308,5114,22055,27169
"KY",21,2,"1999",2206,17573,2167,4229,4373,21802,26175
"KY",21,2,"2000",3046,18202,2859,4100,5905,22302,28207
"KY",21,2,"2001",3215,19022,2930,4231,6145,23253,29398
"KY",21,2,"2002",3489,18956,3160,4634,6649,23590,30239
"KY",21,2,"2003",3823,19238,3492,4270,7315,23508,30823
"KY",21,2,"2004",4143,19856,3846,3747,7989,23603,31592
"KY",21,2,"2005",4339,20410,4125,3715,8464,24125,32589
"KY",21,2,"2006",4566,20772,4256,3572,8822,24344,33166
"KY",21,2,"2007",4728,21730,4564,4029,9292,25759,35051
"KY",21,2,"2008",4835,22218,5048,4272,9883,26490,36373
"KY",21,2,"2009",5236,23144,5384,4602,10620,27746,38366
"KY",21,2,"2010",5678,24415,5760,4614,11438,29029,40467
"KY",21,2,"2011",6160,24922,6439,5434,12599,30356,42955
"KY",21,2,"2012",6313,24822,6770,5406,13083,30228,43311
"KY",21,2,"2013",6582,24598,6430,5446,13012,30044,43056
"KY",21,2,"2014",6632,23149,6790,5870,13422,29019,42441
"LA",22,2,"1980",4776,13009,2038,2480,6814,15489,22303
"LA",22,2,"1984",4899,13093,2414,3030,7313,16123,23436
"LA",22,2,"1985",4727,12456,1868,3246,6595,15702,22297
"LA",22,2,"1986",5112,12982,1787,3398,6899,16380,23279
"LA",22,2,"1987",4500,13648,1962,3623,6462,17271,23733
"LA",22,2,"1988",4633,14061,1950,3665,6583,17726,24309
"LA",22,2,"1989",4698,15003,2460,3844,7158,18847,26005
"LA",22,2,"1990",4831,15225,2355,3938,7186,19163,26349
"LA",22,2,"1991",5225,14813,2326,3935,7551,18748,26299
"LA",22,2,"1992",5232,14656,2425,3708,7657,18364,26021
"LA",22,2,"1993",5615,14741,2486,4217,8101,18958,27059
"LA",22,2,"1994",5825,14947,2381,4074,8206,19021,27227
"LA",22,2,"1995",5492,14377,2979,4623,8471,19000,27471
"LA",22,2,"1996",5586,14335,2526,4352,8112,18687,26799
"LA",22,2,"1997",5402,14663,2635,4526,8037,19189,27226
"LA",22,2,"1998",5776,15440,2426,4297,8202,19737,27939
"LA",22,2,"1999",3000,16071,723,4401,3723,20472,24195
"LA",22,2,"2000",5919,16836,2471,4737,8390,21573,29963
"LA",22,2,"2001",5090,17317,1967,4098,7057,21415,28472
"LA",22,2,"2002",6229,17582,2651,5244,8880,22826,31706
"LA",22,2,"2003",6665,17968,2493,5247,9158,23215,32373
"LA",22,2,"2004",6676,18097,2784,5538,9460,23635,33095
