"state","year_fiscal","appropriations_local","appropriations_net","enrollment_fte","appropriations_state","fips","year_cpi","year_axis","cpi_all","cpi_multiplier","approp_state_aged","approp_local_aged","approp_perstudent_aged"
"Colorado",2005,43308988,546727380,162711,503418392,"08",2004,"'04–'05",188.9,1.25323451561673,630901304.650672,54276318.5980307,4211.0098472058
"Colorado",2006,43308988,592418780,158876,549109792,"08",2005,"'05–'06",195.3,1.21216589861751,665612164.459355,52497678.357235,4519.93908970889
"Colorado",2007,43308988,623266800,157382,579957812,"08",2006,"'06–'07",201.6,1.17428571428571,681036173.52,50857125.9085714,4650.42571214352
"Colorado",2008,47236979,687249267,164638,640012288,"08",2007,"'07–'08",207.342,1.14176577827936,730744128.116677,53933566.091501,4766.0788773441
"Colorado",2009,51188917,787091827.04,171564,735902910.04,"08",2008,"'08–'09",215.303,1.09954807875413,809160630.884054,56284675.3408545,5044.44584076443
"Colorado",2010,69651240,822720838,187231,753069598,"08",2009,"'09–'10",214.537,1.10347399283107,830992716.184751,76858331.9084354,4848.82870941877
"Colorado",2011,61398660,704435521.82,195621,643036861.82,"08",2010,"'10–'11",218.056,1.08566606743222,698123300.986075,66658441.7478079,3909.50737770425
"Colorado",2012,55276285,588559185,192541,533282900,"08",2011,"'11–'12",224.939,1.0524453296227,561251097.472648,58175267.9871432,3217.11409756775
"Colorado",2013,54267446,580351954,188405,526084508,"08",2012,"'12–'13",229.594,1.03110708467991,542449463.339146,55955548.0380846,3176.16311338463
"Colorado",2014,60068055,621785583,184836,561717528,"08",2013,"'13–'14",232.957,1.01622187785729,570829641.129513,61042471.6513348,3418.55543714887
"Colorado",2015,66367270,719452848,181867,653085578,"08",2014,"'14–'15",236.736,1,653085578,66367270,3955.9284971985
"Connecticut",2000,0,555483639,58885,555483639,"09",1999,"'99–'00",166.6,1.4209843937575,789333582.006627,0,13404.6630212554
"Connecticut",2001,0,574275359,60976,574275359,"09",2000,"'00–'01",172.2,1.37477351916376,789498556.261463,0,12947.6934574499
"Connecticut",2002,0,612963857,64183,612963857,"09",2001,"'01–'02",177.1,1.33673630717109,819371042.635528,0,12766.1692759068
"Connecticut",2003,0,631070636,68062,631070636,"09",2002,"'02–'03",179.9,1.31593107281823,830445459.055564,0,12201.3084989504
"Connecticut",2004,0,624417216,70030,624417216,"09",2003,"'03–'04",184,1.28660869565217,803380619.820522,0,11471.9494476727
"Connecticut",2005,0,661319367,72278,661319367,"09",2004,"'04–'05",188.9,1.25323451561673,828788256.570206,0,11466.673905894
"Connecticut",2006,0,699460900,73608,699460900,"09",2005,"'05–'06",195.3,1.21216589861751,847862650.396313,0,11518.6209433256
"Connecticut",2007,0,755099385,74951,755099385,"09",2006,"'06–'07",201.6,1.17428571428571,886702420.671429,0,11830.4281553472
"Connecticut",2008,0,829593724,77088,829593724,"09",2007,"'07–'08",207.342,1.14176577827936,947201723.938536,0,12287.2784861267
"Connecticut",2009,0,827966248,80433,827966248,"09",2008,"'08–'09",215.303,1.09954807875413,910388697.261664,0,11318.5968105338
"Connecticut",2010,0,889346452,85033,889346452,"09",2009,"'09–'10",214.537,1.10347399283107,981370680.398588,0,11541.0567708841
"Connecticut",2011,0,864906524,86281,864906524,"09",2010,"'10–'11",218.056,1.08566606743222,938999664.60755,0,10883.0410473633
"Connecticut",2012,0,772499132,85683,772499132,"09",2011,"'11–'12",224.939,1.0524453296227,813013103.610988,0,9488.61622038196
"Connecticut",2013,0,687340429,87810,687340429,"09",2012,"'12–'13",229.594,1.03110708467991,708721585.928831,0,8071.08058226661
"Connecticut",2014,0,782171927.53,88681,782171927.53,"09",2013,"'13–'14",232.957,1.01622187785729,794860225.00179,0,8963.14007512083
"Connecticut",2015,0,866238882.1,87403,866238882.1,"09",2014,"'14–'15",236.736,1,866238882.1,0,9910.85983433063
"Delaware",2000,0,166850400,28960,166850400,"10",1999,"'99–'00",166.6,1.4209843937575,237091814.492197,0,8186.87204738249
"Delaware",2001,0,184700000,28944,184700000,"10",2000,"'00–'01",172.2,1.37477351916376,253920668.989547,0,8772.8257666372
"Delaware",2002,0,185400000,26775,185400000,"10",2001,"'01–'02",177.1,1.33673630717109,247830911.34952,0,9256.05644629393
"Delaware",2003,0,172991541,31028,172991541,"10",2002,"'02–'03",179.9,1.31593107281823,227644944.136609,0,7336.75854507571
"Delaware",2004,0,182592016,29546,182592016,"10",2003,"'03–'04",184,1.28660869565217,234924475.542261,0,7951.14315109527
"Delaware",2005,0,193947638,30541,193947638,"10",2004,"'04–'05",188.9,1.25323451561673,243061874.163939,0,7958.54340604232
"Delaware",2006,0,206268466,31269,206268466,"10",2005,"'05–'06",195.3,1.21216589861751,250031600.445346,0,7996.14955532142
"Delaware",2007,0,221922783,31269,221922783,"10",2006,"'06–'07",201.6,1.17428571428571,260600753.751429,0,8334.15695261852
"Delaware",2008,0,228464130,31619,228464130,"10",2007,"'07–'08",207.342,1.14176577827936,260852525.198368,0,8249.8663840845
"Delaware",2009,0,230633155,32417,230633155,"10",2008,"'08–'09",215.303,1.09954807875413,253592242.477253,0,7822.81649989984
"Delaware",2010,0,228906260,33570,228906260,"10",2009,"'09–'10",214.537,1.10347399283107,252592104.706228,0,7524.34032488019
"Delaware",2011,0,198939300,34648,198939300,"10",2010,"'10–'11",218.056,1.08566606743222,215981647.488718,0,6233.59638330404
"Delaware",2012,0,201555666,34672,201555666,"10",2011,"'11–'12",224.939,1.0524453296227,212126319.340692,0,6118.08719833561
"Delaware",2013,0,202886697,34715,202886697,"10",2012,"'12–'13",229.594,1.03110708467991,209197910.664007,0,6026.15326700294
"Delaware",2014,0,216749517,35657,216749517,"10",2013,"'13–'14",232.957,1.01622187785729,220265601.1904,0,6177.34529518467
"Delaware",2015,0,215044321,36742,215044321,"10",2014,"'14–'15",236.736,1,215044321,0,5852.82023297589
"Florida",2000,0,2271458821,404417,2271458821,"12",1999,"'99–'00",166.6,1.4209843937575,3227707535.70382,0,7981.1371324742
"Florida",2001,0,2681796010,420957,2681796010,"12",2000,"'00–'01",172.2,1.37477351916376,3686862138.34704,0,8758.28680446468
"Florida",2002,0,2637096700,442010,2637096700,"12",2001,"'01–'02",177.1,1.33673630717109,3525102904.41107,0,7975.16550397291
"Florida",2003,0,2796200741,476654,2796200741,"12",2002,"'02–'03",179.9,1.31593107281823,3679607440.91927,0,7719.66130761363
"Florida",2004,0,2780578521,499972,2780578521,"12",2003,"'03–'04",184,1.28660869565217,3577516504.06226,0,7155.43371241242
"Florida",2005,0,3163962882,504657,3163962882,"12",2004,"'04–'05",188.9,1.25323451561673,3965187489.85258,0,7857.19308332705
"Florida",2006,0,3339398274,507927,3339398274,"12",2005,"'05–'06",195.3,1.21216589861751,4047904709.64498,0,7969.46157547241
"Florida",2007,0,3821490166,518086,3821490166,"12",2006,"'06–'07",201.6,1.17428571428571,4487521309.21714,0,8661.73050269095
"Florida",2008,0,3884743685,540823,3884743685,"12",2007,"'07–'08",207.342,1.14176577827936,4435467396.91987,0,8201.32907979112
