"statefip","state","abbrev","region","year","tufees_pub2","tufees_pub4","dollars","year_type"
29,"Missouri","MO",2,2004,2711.6336219641,7477.15330517423,2015,"academic"
30,"Montana","MT",4,2004,2981.28492080253,5629.91590285111,2015,"academic"
31,"Nebraska","NE",2,2004,2221.47308342133,5947.44920802534,2015,"academic"
32,"Nevada","NV",4,2004,2003.48394931362,3621.39174234424,2015,"academic"
33,"New Hampshire","NH",1,2004,5897.04709609292,10187.52687434,2015,"academic"
34,"New Jersey","NJ",1,2004,3530.66794086589,10053.9612777191,2015,"academic"
35,"New Mexico","NM",4,2004,1310.45491024287,4925.54638859556,2015,"academic"
36,"New York","NY",1,2004,4122.8927560718,6234.74124604013,2015,"academic"
37,"North Carolina","NC",3,2004,1505.76309398099,4493.34827877508,2015,"academic"
38,"North Dakota","ND",2,2004,3780.15839493136,5803.80318901795,2015,"academic"
39,"Ohio","OH",2,2004,4032.90911159152,10377.934353284,2015,"academic"
40,"Oklahoma","OK",3,2004,2653.67119324182,4454.28664202745,2015,"academic"
41,"Oregon","OR",4,2004,3607.53116156283,6578.73565997888,2015,"academic"
42,"Pennsylvania","PA",1,2004,3613.92892841819,10394.1755332629,2015,"academic"
72,"Puerto Rico","PR",,2004,,1479.30198521647,2015,"academic"
44,"Rhode Island","RI",1,2004,2910.72196409715,7475.89325237592,2015,"academic"
45,"South Carolina","SC",3,2004,3563.42931362196,8330.20904963041,2015,"academic"
46,"South Dakota","SD",2,2004,3824.26024287223,5478.70956705385,2015,"academic"
47,"Tennessee","TN",3,2004,2768.33599788807,5425.78734952481,2015,"academic"
48,"Texas","TX",3,2004,1741.39296726505,6394.76795142555,2015,"academic"
49,"Utah","UT",4,2004,2541.52649419219,4125.41286166843,2015,"academic"
50,"Vermont","VT",1,2004,5947.44920802534,11067.0437275607,2015,"academic"
51,"Virginia","VA",3,2004,2622.16987328405,7029.83456177402,2015,"academic"
53,"Washington","WA",4,2004,3127.45104540655,6191.89945089757,2015,"academic"
54,"West Virginia","WV",3,2004,2622.28809605957,4575.25171066526,2015,"academic"
55,"Wisconsin","WI",2,2004,3661.71343189018,6574.95550158395,2015,"academic"
56,"Wyoming","WY",4,2004,2124.44901795143,4086.3512249208,2015,"academic"
1,"Alabama","AL",3,2005,3334.31637666325,5840.54978505629,2015,"academic"
2,"Alaska","AK",4,2005,,4632.6234493347,2015,"academic"
4,"Arizona","AZ",4,2005,1858.91191402252,5415.51604912999,2015,"academic"
5,"Arkansas","AR",3,2005,2418.29539406346,6082.37932446264,2015,"academic"
6,"California","CA",4,2005,989.302661207779,5527.88128966223,2015,"academic"
8,"Colorado","CO",4,2005,2916.61080859775,5406.96651995906,2015,"academic"
9,"Connecticut","CT",1,2005,3097.37228249744,8249.07428863869,2015,"academic"
10,"Delaware","DE",3,2005,2645.46859774821,8610.59723643807,2015,"academic"
11,"District of Columbia","DC",3,2005,,3077.83050153531,2015,"academic"
12,"Florida","FL",3,2005,2343.79235414534,3924.23388945752,2015,"academic"
13,"Georgia","GA",3,2005,2696.7657727738,4492.1668986694,2015,"academic"
15,"Hawaii","HI",4,2005,1862.57599795292,4263.77233367451,2015,"academic"
16,"Idaho","ID",4,2005,2291.27381780962,4790.17905834186,2015,"academic"
17,"Illinois","IL",2,2005,2622.26273285568,8444.49209825998,2015,"academic"
18,"Indiana","IN",2,2005,3331.87365404299,7517.47886386899,2015,"academic"
19,"Iowa","IA",2,2005,3774.00644831116,6862.82920163767,2015,"academic"
20,"Kansas","KS",2,2005,2257.0757011259,5739.17679631525,2015,"academic"
21,"Kentucky","KY",3,2005,3673.85482088025,6142.22602865916,2015,"academic"
22,"Louisiana","LA",3,2005,2248.52617195496,4512.93004094166,2015,"academic"
23,"Maine","ME",1,2005,3434.46800409417,7407.55634595701,2015,"academic"
24,"Maryland","MD",3,2005,3777.67053224156,8716.85567041965,2015,"academic"
25,"Massachusetts","MA",1,2005,4272.32186284545,8958.685209826,2015,"academic"
26,"Michigan","MI",2,2005,2596.61414534289,8668.00121801433,2015,"academic"
27,"Minnesota","MN",2,2005,4901.32293756397,8481.13293756397,2015,"academic"
28,"Mississippi","MS",3,2005,2037.23066530194,5110.17572159672,2015,"academic"
29,"Missouri","MO",2,2005,2783.48242579324,7659.15677584442,2015,"academic"
30,"Montana","MT",4,2005,3016.76243602866,6006.65492323439,2015,"academic"
31,"Nebraska","NE",2,2005,2279.06020470829,6475.65766632549,2015,"academic"
32,"Nevada","NV",4,2005,2006.69663254862,3687.28979529171,2015,"academic"
33,"New Hampshire","NH",1,2005,6331.53703172978,10484.1654861822,2015,"academic"
34,"New Jersey","NJ",1,2005,3599.35178096213,10504.9286284545,2015,"academic"
35,"New Mexico","NM",4,2005,1365.48194472876,5187.12148413511,2015,"academic"
36,"New York","NY",1,2005,4131.86531218014,6114.1347185261,2015,"academic"
37,"North Carolina","NC",3,2005,1520.59483111566,4464.07558853634,2015,"academic"
38,"North Dakota","ND",2,2005,3957.21064483112,6197.18728761515,2015,"academic"
39,"Ohio","OH",2,2005,4129.4745214581,10186.4063431718,2015,"academic"
40,"Oklahoma","OK",3,2005,2732.18525076766,4638.73025588536,2015,"academic"
41,"Oregon","OR",4,2005,3622.55764585466,6631.99191402252,2015,"academic"
42,"Pennsylvania","PA",1,2005,3727.14810614697,10556.22580348,2015,"academic"
72,"Puerto Rico","PR",,2005,,1723.34080859775,2015,"academic"
44,"Rhode Island","RI",1,2005,3016.76243602866,7864.34547594677,2015,"academic"
45,"South Carolina","SC",3,2005,3592.02361310133,9019.75327533265,2015,"academic"
46,"South Dakota","SD",2,2005,3903.47074718526,5609.71249744115,2015,"academic"
47,"Tennessee","TN",3,2005,2919.05353121801,5817.34392016377,2015,"academic"
48,"Texas","TX",3,2005,1794.17976458547,6577.03065506653,2015,"academic"
49,"Utah","UT",4,2005,2632.03362333674,4376.13757420675,2015,"academic"
50,"Vermont","VT",1,2005,6094.59293756397,11295.1493961105,2015,"academic"
51,"Virginia","VA",3,2005,2676.00263050153,7356.25917093142,2015,"academic"
53,"Washington","WA",4,2005,3215.84432958035,6414.58960081883,2015,"academic"
54,"West Virginia","WV",3,2005,2567.18515377492,4727.88963152508,2015,"academic"
55,"Wisconsin","WI",2,2005,3825.30362333674,6871.3787308086,2015,"academic"
56,"Wyoming","WY",4,2005,2161.80951893552,4188.04793244626,2015,"academic"
1,"Alabama","AL",3,2006,3267.27294348894,5753.49643243243,2015,"academic"
2,"Alaska","AK",4,2006,,4918.50061916462,2015,"academic"
4,"Arizona","AZ",4,2006,1946.7599017199,5481.41914496315,2015,"academic"
5,"Arkansas","AR",3,2006,2456.90481572482,6231.97717936118,2015,"academic"
6,"California","CA",4,2006,849.068776412776,5334.82577886978,2015,"academic"
8,"Colorado","CO",4,2006,2786.4467027027,5596.34834398034,2015,"academic"
9,"Connecticut","CT",1,2006,3133.57979361179,8367.54933660934,2015,"academic"
10,"Delaware","DE",3,2006,2709.04540540541,8681.84551351351,2015,"academic"
11,"District of Columbia","DC",3,2006,,3764.51764127764,2015,"academic"
12,"Florida","FL",3,2006,2381.84901228501,3887.65606879607,2015,"academic"
13,"Georgia","GA",3,2006,2622.26213267813,4584.26774447174,2015,"academic"
15,"Hawaii","HI",4,2006,2031.19768058968,4957.20126781327,2015,"academic"
16,"Idaho","ID",4,2006,2320.86617199017,4873.93623587224,2015,"academic"
17,"Illinois","IL",2,2006,2698.49068304668,9449.99475184275,2015,"academic"
18,"Indiana","IN",2,2006,3379.85664864865,7687.35611793612,2015,"academic"
19,"Iowa","IA",2,2006,3755.13566584767,6919.20687960688,2015,"academic"
20,"Kansas","KS",2,2006,2212.97345454545,6113.52973955774,2015,"academic"
21,"Kentucky","KY",3,2006,3834.88245700246,6759.7132972973,2015,"academic"
22,"Louisiana","LA",3,2006,2198.90049140049,4421.25592137592,2015,"academic"
23,"Maine","ME",1,2006,3431.45751351351,7758.89368058968,2015,"academic"
24,"Maryland","MD",3,2006,3661.31591154791,8462.54183783784,2015,"academic"
25,"Massachusetts","MA",1,2006,4197.26125798526,8892.93996068796,2015,"academic"
26,"Michigan","MI",2,2006,2616.3983980344,8998.48718427518,2015,"academic"
27,"Minnesota","MN",2,2006,5000.5929041769,8816.71141031941,2015,"academic"
28,"Mississippi","MS",3,2006,1985.46055036855,5218.72383292383,2015,"academic"
29,"Missouri","MO",2,2006,2804.03790663391,7653.34645700246,2015,"academic"
30,"Montana","MT",4,2006,3016.3051007371,6166.30335135135,2015,"academic"
31,"Nebraska","NE",2,2006,2360.73956756757,6132.29369041769,2015,"academic"
32,"Nevada","NV",4,2006,1987.80604422604,4274.66255528256,2015,"academic"
33,"New Hampshire","NH",1,2006,6138.15742506142,10703.6612186732,2015,"academic"
34,"New Jersey","NJ",1,2006,3738.71720884521,10942.9015921376,2015,"academic"
35,"New Mexico","NM",4,2006,1292.36711547912,4756.66154299754,2015,"academic"
36,"New York","NY",1,2006,4057.70437346437,5911.81726781327,2015,"academic"
37,"North Carolina","NC",3,2006,1474.14288943489,4769.56175921376,2015,"academic"
38,"North Dakota","ND",2,2006,3874.75585257985,6464.18107125307,2015,"academic"
39,"Ohio","OH",2,2006,4028.7255198282,9903.03111744254,2015,"academic"
40,"Oklahoma","OK",3,2006,2704.35441769042,5197.61438820639,2015,"academic"
41,"Oregon","OR",4,2006,3707.05304176904,6539.23687469288,2015,"academic"
42,"Pennsylvania","PA",1,2006,3646.79189189189,10614.5324520885,2015,"academic"
72,"Puerto Rico","PR",,2006,,1666.47338574939,2015,"academic"
44,"Rhode Island","RI",1,2006,3149.99825061425,7959.43340540541,2015,"academic"
45,"South Carolina","SC",3,2006,3664.83415233415,9279.94644717445,2015,"academic"
46,"South Dakota","SD",2,2006,4044.80415724816,5827.37948894349,2015,"academic"
47,"Tennessee","TN",3,2006,2920.13985257985,5832.07047665848,2015,"academic"
48,"Texas","TX",3,2006,1888.12255528256,7018.89036855037,2015,"academic"
49,"Utah","UT",4,2006,2725.46386240786,4475.20228009828,2015,"academic"
50,"Vermont","VT",1,2006,6133.46643734644,11472.9832039312,2015,"academic"
51,"Virginia","VA",3,2006,2781.75571498772,7688.52886486486,2015,"academic"
53,"Washington","WA",4,2006,3210.98109090909,6649.47508599509,2015,"academic"
54,"West Virginia","WV",3,2006,2588.25247174447,4885.66370515971,2015,"academic"
55,"Wisconsin","WI",2,2006,3688.28909090909,7085.73694348894,2015,"academic"
56,"Wyoming","WY",4,2006,2146.12687960688,4122.20545454545,2015,"academic"
1,"Alabama","AL",3,2007,3218.33454632741,6008.16887181949,2015,"academic"
2,"Alaska","AK",4,2007,,5069.82213154105,2015,"academic"
4,"Arizona","AZ",4,2007,1931.68816130581,5681.63795487278,2015,"academic"
5,"Arkansas","AR",3,2007,2449.55473835814,6414.90036485838,2015,"academic"
6,"California","CA",4,2007,725.24235237638,5672.47217474796,2015,"academic"
8,"Colorado","CO",4,2007,2817.33166586654,6227.00187229957,2015,"academic"
9,"Connecticut","CT",1,2007,3240.10327412386,8677.70233317331,2015,"academic"
10,"Delaware","DE",3,2007,2774.93993278925,8945.80140182429,2015,"academic"
11,"District of Columbia","DC",3,2007,,4319.37388382141,2015,"academic"
12,"Florida","FL",3,2007,2326.96242918867,3879.41643783005,2015,"academic"
13,"Georgia","GA",3,2007,2428.93173307729,4790.26583773404,2015,"academic"
15,"Hawaii","HI",4,2007,2229.57601536246,5748.08986077772,2015,"academic"
16,"Idaho","ID",4,2007,2396.85150264042,5020.55606337014,2015,"academic"
17,"Illinois","IL",2,2007,2795.56293807009,10424.9291694671,2015,"academic"
18,"Indiana","IN",2,2007,3440.6047143543,7876.84229476716,2015,"academic"
19,"Iowa","IA",2,2007,3816.40169947192,7124.10260201632,2015,"academic"
20,"Kansas","KS",2,2007,2208.95301008161,6583.32157465194,2015,"academic"
21,"Kentucky","KY",3,2007,3952.74267882861,7193.99167546807,2015,"academic"
22,"Louisiana","LA",3,2007,2194.05861737878,4388.11723475756,2015,"academic"
23,"Maine","ME",1,2007,3574.65424867979,8402.72892942871,2015,"academic"
24,"Maryland","MD",3,2007,3725.88962073932,8379.81447911666,2015,"academic"
25,"Massachusetts","MA",1,2007,4232.29897263562,9036.31348055689,2015,"academic"
26,"Michigan","MI",2,2007,2668.38773883821,9737.49566010562,2015,"academic"
27,"Minnesota","MN",2,2007,5093.8823043687,8934.34417666827,2015,"academic"
28,"Mississippi","MS",3,2007,1958.03977916467,5450.20200672108,2015,"academic"
29,"Missouri","MO",2,2007,2870.03490158425,7842.47061929909,2015,"academic"
30,"Montana","MT",4,2007,3173.65136821892,6074.62077772444,2015,"academic"
31,"Nebraska","NE",2,2007,2469.03202112338,6394.27735957753,2015,"academic"
32,"Nevada","NV",4,2007,2019.9087950072,4523.31249159866,2015,"academic"
33,"New Hampshire","NH",1,2007,6426.3575900144,11111.216956313,2015,"academic"
34,"New Jersey","NJ",1,2007,3880.56216034566,11427.4363706193,2015,"academic"
35,"New Mexico","NM",4,2007,1309.56083533365,4867.02924627941,2015,"academic"
36,"New York","NY",1,2007,4063.87776284205,5815.68748919827,2015,"academic"
37,"North Carolina","NC",3,2007,1536.41389342295,4933.48115218435,2015,"academic"
38,"North Dakota","ND",2,2007,3958.47129140662,6648.62775804129,2015,"academic"
39,"Ohio","OH",2,2007,4027.21464234277,9695.10392702832,2015,"academic"
40,"Oklahoma","OK",3,2007,2848.26617378781,5720.59252040326,2015,"academic"
41,"Oregon","OR",4,2007,3691.51794527124,6812.46607777244,2015,"academic"
42,"Pennsylvania","PA",1,2007,3705.26661545847,11218.9148727796,2015,"academic"
72,"Puerto Rico","PR",,2007,,2046.26041286606,2015,"academic"
44,"Rhode Island","RI",1,2007,3260.7262794047,8273.26228516563,2015,"academic"
45,"South Carolina","SC",3,2007,3706.41233797408,9590.8431781085,2015,"academic"
46,"South Dakota","SD",2,2007,4120.01816610658,6121.59540086414,2015,"academic"
47,"Tennessee","TN",3,2007,3015.54166106577,6146.80129620739,2015,"academic"
48,"Texas","TX",3,2007,1889.29642822852,7389.9102256361,2015,"academic"
49,"Utah","UT",4,2007,2800.1458281325,4650.48769083053,2015,"academic"
50,"Vermont","VT",1,2007,6301.47383581373,12012.9005760922,2015,"academic"
51,"Virginia","VA",3,2007,2934.19536245799,8029.22338934229,2015,"academic"
53,"Washington","WA",4,2007,3298.53512241959,6858.29497839654,2015,"academic"
54,"West Virginia","WV",3,2007,2686.71929908785,5048.0534037446,2015,"academic"
55,"Wisconsin","WI",2,2007,3746.51262602016,7347.51849255881,2015,"academic"
56,"Wyoming","WY",4,2007,2202.078674988,4071.89782045127,2015,"academic"
1,"Alabama","AL",3,2008,3075.88555399975,6475.09170591551,2015,"academic"
2,"Alaska","AK",4,2008,,5075.48240621193,2015,"academic"
4,"Arizona","AZ",4,2008,1975.72754632576,6058.46382135258,2015,"academic"
5,"Arkansas","AR",3,2008,2491.08755978251,6416.50340964885,2015,"academic"
6,"California","CA",4,2008,687.869996908585,5897.88849084396,2015,"academic"
8,"Colorado","CO",4,2008,2766.6695459257,6284.13725882417,2015,"academic"
9,"Connecticut","CT",1,2008,3237.54585295776,8720.97639613755,2015,"academic"
10,"Delaware","DE",3,2008,2854.55199032569,8995.47341383135,2015,"academic"
11,"District of Columbia","DC",3,2008,,4090.3310541725,2015,"academic"
12,"Florida","FL",3,2008,2486.74768598498,4150.00431888854,2015,"academic"
13,"Georgia","GA",3,2008,2282.77361750105,4831.36450510083,2015,"academic"
15,"Hawaii","HI",4,2008,2378.25084104672,6317.77128075503,2015,"academic"
16,"Idaho","ID",4,2008,2421.64957902202,5003.87448855267,2015,"academic"
17,"Illinois","IL",2,2008,2817.66306304668,10872.4688312633,2015,"academic"
18,"Indiana","IN",2,2008,3403.5460257133,7835.64214144133,2015,"academic"
19,"Iowa","IA",2,2008,3810.40919423178,6979.60203487843,2015,"academic"
20,"Kansas","KS",2,2008,2152.57740357513,6520.66038078958,2015,"academic"
21,"Kentucky","KY",3,2008,3997.02376752559,7387.5501718463,2015,"academic"
22,"Louisiana","LA",3,2008,2112.43357094797,4419.07649433544,2015,"academic"
23,"Maine","ME",1,2008,3424.16042625157,8764.37513411285,2015,"academic"
24,"Maryland","MD",3,2008,3611.85996799476,8020.08677783637,2015,"academic"
25,"Massachusetts","MA",1,2008,4258.50116382681,8939.05505446346,2015,"academic"
26,"Michigan","MI",2,2008,2663.59754323435,9905.76194286338,2015,"academic"
27,"Minnesota","MN",2,2008,4949.62606608354,9023.6825935153,2015,"academic"
28,"Mississippi","MS",3,2008,1920.39415540725,5367.33891909585,2015,"academic"
29,"Missouri","MO",2,2008,2805.72841010347,7842.15195213762,2015,"academic"
30,"Montana","MT",4,2008,3150.74837700715,5789.39164590569,2015,"academic"
31,"Nebraska","NE",2,2008,2430.32932661708,6462.07208452292,2015,"academic"
32,"Nevada","NV",4,2008,2084.22439126402,4770.60627193541,2015,"academic"
33,"New Hampshire","NH",1,2008,6083.41809568838,11167.5802494954,2015,"academic"
34,"New Jersey","NJ",1,2008,3851.63799530832,11661.2408939645,2015,"academic"
35,"New Mexico","NM",4,2008,1243.37384299249,4904.05739120947,2015,"academic"
36,"New York","NY",1,2008,3963.38974559473,5556.12342928843,2015,"academic"
37,"North Carolina","NC",3,2008,1464.70740666655,4764.09646123911,2015,"academic"
38,"North Dakota","ND",2,2008,4163.02394028114,6625.9023203797,2015,"academic"
39,"Ohio","OH",2,2008,3814.74906802931,9194.02264006837,2015,"academic"
40,"Oklahoma","OK",3,2008,2921.82003418741,6120.30702296739,2015,"academic"
41,"Oregon","OR",4,2008,3619.45474714044,6769.1181556982,2015,"academic"
42,"Pennsylvania","PA",1,2008,3629.21946318488,11232.6783564583,2015,"academic"
72,"Puerto Rico","PR",,2008,,2026.72106344675,2015,"academic"
44,"Rhode Island","RI",1,2008,3352.55250859232,8383.55120837955,2015,"academic"
45,"South Carolina","SC",3,2008,3630.30443163427,9907.93187976214,2015,"academic"
46,"South Dakota","SD",2,2008,4273.69072211816,6182.1502245822,2015,"academic"
47,"Tennessee","TN",3,2008,3012.95738393555,6169.13060318961,2015,"academic"
48,"Texas","TX",3,2008,1803.21756287392,7506.89670127839,2015,"academic"
49,"Utah","UT",4,2008,2772.09438817261,4638.24012111073,2015,"academic"
50,"Vermont","VT",1,2008,6325.36605990071,12304.6271844484,2015,"academic"
51,"Virginia","VA",3,2008,3103.00976523431,8225.14581476969,2015,"academic"
53,"Washington","WA",4,2008,3213.67654707134,6979.60203487843,2015,"academic"
54,"West Virginia","WV",3,2008,2689.63678601953,5106.94649124402,2015,"academic"
55,"Wisconsin","WI",2,2008,3712.76203378735,7373.44558200433,2015,"academic"
56,"Wyoming","WY",4,2008,2189.46633085414,3928.67075521449,2015,"academic"
1,"Alabama","AL",3,2009,3146.20645365009,7188.95430251079,2015,"academic"
2,"Alaska","AK",4,2009,,5454.60660967444,2015,"academic"
4,"Arizona","AZ",4,2009,2125.54560693937,7263.20433153317,2015,"academic"
5,"Arkansas","AR",3,2009,2635.32192560053,6627.09214259511,2015,"academic"
6,"California","CA",4,2009,905.40707031776,7258.7714939796,2015,"academic"
8,"Colorado","CO",4,2009,3067.52358707413,6948.47286522932,2015,"academic"
9,"Connecticut","CT",1,2009,3546.27004286026,9371.01858825824,2015,"academic"
10,"Delaware","DE",3,2009,3061.98254013216,9987.18300820521,2015,"academic"
11,"District of Columbia","DC",3,2009,,5951.08441567488,2015,"academic"
12,"Florida","FL",3,2009,2829.25856856945,4783.03172030778,2015,"academic"
13,"Georgia","GA",3,2009,2876.91157227039,5549.91261707631,2015,"academic"
15,"Hawaii","HI",4,2009,2707.35553584613,7356.29392015825,2015,"academic"
16,"Idaho","ID",4,2009,2679.65030113628,5414.71107169226,2015,"academic"
17,"Illinois","IL",2,2009,3024.30342092677,11536.4597331798,2015,"academic"
18,"Indiana","IN",2,2009,3633.81858454337,8470.04435549405,2015,"academic"
19,"Iowa","IA",2,2009,4101.48294644557,7438.3014148994,2015,"academic"
20,"Kansas","KS",2,2009,2350.51211278332,6995.01765954186,2015,"academic"
21,"Kentucky","KY",3,2009,4165.75909097241,7886.0180078105,2015,"academic"
22,"Louisiana","LA",3,2009,2270.72103681896,4745.35260110239,2015,"academic"
23,"Maine","ME",1,2009,3586.16558084244,9468.5410144369,2015,"academic"
24,"Maryland","MD",3,2009,3761.26266420866,8284.97338763228,2015,"academic"
25,"Massachusetts","MA",1,2009,4755.32648559793,10238.7465393706,2015,"academic"
26,"Michigan","MI",2,2009,2800.44512447121,10817.2318401122,2015,"academic"
27,"Minnesota","MN",2,2009,5251.80429159837,9738.94410520499,2015,"academic"
28,"Mississippi","MS",3,2009,2055.72841547056,5487.85289132625,2015,"academic"
29,"Missouri","MO",2,2009,2859.18022205609,7995.73073726149,2015,"academic"
30,"Montana","MT",4,2009,3300.24755863683,6078.52849534017,2015,"academic"
31,"Nebraska","NE",2,2009,2542.23233697545,6908.57732724715,2015,"academic"
32,"Nevada","NV",4,2009,2240.79938333233,5034.59525147318,2015,"academic"
33,"New Hampshire","NH",1,2009,6529.56971641646,12273.4189764617,2015,"academic"
34,"New Jersey","NJ",1,2009,4204.5464195662,12337.6951209885,2015,"academic"
35,"New Mexico","NM",4,2009,1338.71694117975,5303.89013285288,2015,"academic"
36,"New York","NY",1,2009,4289.87854247252,6361.12188938059,2015,"academic"
37,"North Carolina","NC",3,2009,1773.13502143013,5030.1624139196,2015,"academic"
38,"North Dakota","ND",2,2009,4297.63600819128,7020.50647547492,2015,"academic"
39,"Ohio","OH",2,2009,3873.19181243644,9425.32084828954,2015,"academic"
40,"Oklahoma","OK",3,2009,2996.59818621692,6007.60309448296,2015,"academic"
41,"Oregon","OR",4,2009,4001.74410149013,7653.2940362478,2015,"academic"
42,"Pennsylvania","PA",1,2009,3821.10597118193,11928.7658566712,2015,"academic"
72,"Puerto Rico","PR",,2009,,2096.73216284113,2015,"academic"
44,"Rhode Island","RI",1,2009,3741.31489521758,9423.10442951275,2015,"academic"
45,"South Carolina","SC",3,2009,3857.67688099893,10550.1533775093,2015,"academic"
46,"South Dakota","SD",2,2009,4780.81530153099,6683.6108214032,2015,"academic"
47,"Tennessee","TN",3,2009,3292.49009291807,6757.86085042558,2015,"academic"
48,"Texas","TX",3,2009,1934.93359213563,8120.95839815,2015,"academic"
49,"Utah","UT",4,2009,3003.24744254728,5067.84153312499,2015,"academic"
50,"Vermont","VT",1,2009,6726.83098755056,13316.2440109403,2015,"academic"
51,"Virginia","VA",3,2009,3421.04238197176,8794.74970629345,2015,"academic"
53,"Washington","WA",4,2009,3494.18420160575,8113.20093243124,2015,"academic"
54,"West Virginia","WV",3,2009,2916.80711025256,5518.88275420128,2015,"academic"
55,"Wisconsin","WI",2,2009,3886.49032509717,7944.75310539538,2015,"academic"
56,"Wyoming","WY",4,2009,2398.16511648425,4129.18818115542,2015,"academic"
1,"Alabama","AL",3,2010,3740.54849525941,8071.13375930572,2015,"academic"
2,"Alaska","AK",4,2010,,5759.15295099789,2015,"academic"
4,"Arizona","AZ",4,2010,2166.38731990588,8839.60465297623,2015,"academic"
5,"Arkansas","AR",3,2010,2764.08690387182,6900.91241267642,2015,"academic"
6,"California","CA",4,2010,896.54937594892,8193.73880217053,2015,"academic"
8,"Colorado","CO",4,2010,3417.61556985657,7748.20083390288,2015,"academic"
9,"Connecticut","CT",1,2010,3730.69630431492,9827.01312319103,2015,"academic"
10,"Delaware","DE",3,2010,3162.55329318245,10534.1814954291,2015,"academic"
11,"District of Columbia","DC",3,2010,,7662.8151790506,2015,"academic"
12,"Florida","FL",3,2010,3035.56949878676,5510.6588016201,2015,"academic"
13,"Georgia","GA",3,2010,3065.12607162024,6428.00724734073,2015,"academic"
15,"Hawaii","HI",4,2010,2966.6041621753,8164.18222933705,2015,"academic"
16,"Idaho","ID",4,2010,2795.83285247075,5834.68641490567,2015,"academic"
17,"Illinois","IL",2,2010,3295.01052699176,12007.6313855723,2015,"academic"
18,"Indiana","IN",2,2010,3766.82100444473,8744.36680717945,2015,"academic"
19,"Iowa","IA",2,2010,4282.41899720656,7832.49180087243,2015,"academic"
20,"Kansas","KS",2,2010,2496.98306048777,7254.49659879547,2015,"academic"
21,"Kentucky","KY",3,2010,4269.2827426139,8230.95819018306,2015,"academic"
22,"Louisiana","LA",3,2010,2421.44959657999,5181.15774892093,2015,"academic"
23,"Maine","ME",1,2010,3568.68249767214,9791.98311094394,2015,"academic"
24,"Maryland","MD",3,2010,3904.75167766764,8469.60014861635,2015,"academic"
25,"Massachusetts","MA",1,2010,5028.99613322264,10386.3986312617,2015,"academic"
26,"Michigan","MI",2,2010,2949.08915605176,11094.6616913825,2015,"academic"
27,"Minnesota","MN",2,2010,5406.66345276156,10275.8351551069,2015,"academic"
28,"Mississippi","MS",3,2010,2319.64362348689,5795.2776511277,2015,"academic"
29,"Missouri","MO",2,2010,2824.29473742151,7959.47559526813,2015,"academic"
30,"Montana","MT",4,2010,3315.80959676347,6143.38839783314,2015,"academic"
31,"Nebraska","NE",2,2010,2640.38717312429,7224.94002596199,2015,"academic"
32,"Nevada","NV",4,2010,2455.38492094436,5821.55016031301,2015,"academic"
33,"New Hampshire","NH",1,2010,6864.78771254661,13077.1414469912,2015,"academic"
34,"New Jersey","NJ",1,2010,4293.36587603378,12752.0191458229,2015,"academic"
35,"New Mexico","NM",4,2010,1450.46144460601,5613.55946259592,2015,"academic"
36,"New York","NY",1,2010,4336.05870345992,6341.52690460573,2015,"academic"
37,"North Carolina","NC",3,2010,1944.16567971341,5827.02359972662,2015,"academic"
38,"North Dakota","ND",2,2010,4247.38898495947,7191.00470159763,2015,"academic"
